RDA element,RDA recording method,Alignment,M21 Authority encoding
moderator person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
puppeteer person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
panelist person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
instrumentalist person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
commentator person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
narrator person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
storyteller person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
speaker person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
instructor person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
singer person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
conductor person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
voice actor person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
mixing engineer person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
recording engineer person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
letterer person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
presenter person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
creator person of expression,structured description,aligns with,"500 0* $a, b, c, d, g, q"
editor person of moving image work,structured description,aligns with,"500 0* $a, b, c, d, g, q"
production designer person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
minute taker person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
dubbing director person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
animator person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
related person of place,structured description,aligns with,"500 0* $a, b, c, d, g, q"
respondent,structured description,aligns with,"500 0* $a, b, c, d, g, q"
appellee person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
medium,structured description,aligns with,"500 0* $a, b, c, d, g, q"
degree supervisor,structured description,aligns with,"500 0* $a, b, c, d, g, q"
appellant person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
plaintiff person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
judge,structured description,aligns with,"500 0* $a, b, c, d, g, q"
praeses,structured description,aligns with,"500 0* $a, b, c, d, g, q"
subject person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
degree committee member,structured description,aligns with,"500 0* $a, b, c, d, g, q"
defendant person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
related person of work,structured description,aligns with,"500 0* $a, b, c, d, g, q"
description of person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
criminal defendant person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
civil defendant person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
academic supervisor,structured description,aligns with,"500 0* $a, b, c, d, g, q"
project supervisor,structured description,aligns with,"500 0* $a, b, c, d, g, q"
research supervisor,structured description,aligns with,"500 0* $a, b, c, d, g, q"
dedicatee person of work,structured description,aligns with,"500 0* $a, b, c, d, g, q"
addressee person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
dedicator person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
director person of photography,structured description,aligns with,"500 0* $a, b, c, d, g, q"
researcher person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
editorial director person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
film director person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
radio director person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
television director person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
audio producer person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
film producer person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
radio producer person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
television producer person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
landscape architect person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
calligrapher person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
sculptor person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
book artist person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
screenwriter person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
lyricist person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
librettist person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
rapporteur person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
honouree person of work,structured description,aligns with,"500 0* $a, b, c, d, g, q"
choreographer person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
cartographer person of work,structured description,aligns with,"500 0* $a, b, c, d, g, q"
author person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
creator person of work,structured description,aligns with,"500 0* $a, b, c, d, g, q"
architect person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
commissioning person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
programmer person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
designer person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
composer person of work,structured description,aligns with,"500 0* $a, b, c, d, g, q"
inventor person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
compiler person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
photographer person of work,structured description,aligns with,"500 0* $a, b, c, d, g, q"
interviewer person of work,structured description,aligns with,"500 0* $a, b, c, d, g, q"
interviewee person of work,structured description,aligns with,"500 0* $a, b, c, d, g, q"
aggregator person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
remix artist person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
filmmaker person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
artist person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
founder person of work,structured description,aligns with,"500 0* $a, b, c, d, g, q"
casting director person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
producer person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
director person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
issuing person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
organizer person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
consultant person,structured description,aligns with,"500 0* $a, b, c, d, g, q"
sponsoring person of work,structured description,aligns with,"500 0* $a, b, c, d, g, q"
employee,identifier,aligns with,500 1* $0
officer,identifier,aligns with,500 1* $0
sponsoring person of corporate body,identifier,aligns with,500 1* $0
founding person of corporate body,identifier,aligns with,500 1* $0
person member of corporate body,identifier,aligns with,500 1* $0
person member of family,identifier,aligns with,500 1* $0
related person of agent,identifier,aligns with,500 1* $0
graduate,identifier,aligns with,500 1* $0
colleague,identifier,aligns with,500 1* $0
assistant,identifier,aligns with,500 1* $0
assistant to,identifier,aligns with,500 1* $0
coworker,identifier,aligns with,500 1* $0
partner,identifier,aligns with,500 1* $0
fellow student,identifier,aligns with,500 1* $0
friend,identifier,aligns with,500 1* $0
student,identifier,aligns with,500 1* $0
teacher,identifier,aligns with,500 1* $0
enrolled student,identifier,aligns with,500 1* $0
chief executive,identifier,aligns with,500 1* $0
trustee,identifier,aligns with,500 1* $0
related person of person,identifier,aligns with,500 1* $0
related person of family,identifier,aligns with,500 1* $0
related person of corporate body,identifier,aligns with,500 1* $0
related person of collective agent,identifier,aligns with,500 1* $0
alternate identity of person,identifier,aligns with,500 1* $0
real identity of person,identifier,aligns with,500 1* $0
person member of collective agent,identifier,aligns with,500 1* $0
related person of expression,identifier,aligns with,500 1* $0
choral conductor person,identifier,aligns with,500 1* $0
interviewer person of expression,identifier,aligns with,500 1* $0
editor person,identifier,aligns with,500 1* $0
draftsman person,identifier,aligns with,500 1* $0
colourist person,identifier,aligns with,500 1* $0
makeup artist person,identifier,aligns with,500 1* $0
musical director person,identifier,aligns with,500 1* $0
sound designer person,identifier,aligns with,500 1* $0
lighting designer person,identifier,aligns with,500 1* $0
costume designer person,identifier,aligns with,500 1* $0
translator person,identifier,aligns with,500 1* $0
reviser person,identifier,aligns with,500 1* $0
audio engineer person,identifier,aligns with,500 1* $0
DJ person,identifier,aligns with,500 1* $0
art director person,identifier,aligns with,500 1* $0
performer person,identifier,aligns with,500 1* $0
court reporter person,identifier,aligns with,500 1* $0
software developer person,identifier,aligns with,500 1* $0
interviewee person of expression,identifier,aligns with,500 1* $0
restorationist person of expression,identifier,aligns with,500 1* $0
censor person,identifier,aligns with,500 1* $0
abridger person,identifier,aligns with,500 1* $0
recordist person,identifier,aligns with,500 1* $0
transcriber person,identifier,aligns with,500 1* $0
special effects provider person,identifier,aligns with,500 1* $0
visual effects provider person,identifier,aligns with,500 1* $0
music programmer person,identifier,aligns with,500 1* $0
onscreen participant person,identifier,aligns with,500 1* $0
stage director person,identifier,aligns with,500 1* $0
arranger person of music,identifier,aligns with,500 1* $0
contributor person to performance,identifier,aligns with,500 1* $0
contributor person to amalgamation,identifier,aligns with,500 1* $0
instrumental conductor person,identifier,aligns with,500 1* $0
actor person,identifier,aligns with,500 1* $0
onscreen presenter person,identifier,aligns with,500 1* $0
dancer person,identifier,aligns with,500 1* $0
host person,identifier,aligns with,500 1* $0
moderator person,identifier,aligns with,500 1* $0
puppeteer person,identifier,aligns with,500 1* $0
panelist person,identifier,aligns with,500 1* $0
instrumentalist person,identifier,aligns with,500 1* $0
commentator person,identifier,aligns with,500 1* $0
narrator person,identifier,aligns with,500 1* $0
storyteller person,identifier,aligns with,500 1* $0
speaker person,identifier,aligns with,500 1* $0
instructor person,identifier,aligns with,500 1* $0
singer person,identifier,aligns with,500 1* $0
conductor person,identifier,aligns with,500 1* $0
voice actor person,identifier,aligns with,500 1* $0
mixing engineer person,identifier,aligns with,500 1* $0
recording engineer person,identifier,aligns with,500 1* $0
letterer person,identifier,aligns with,500 1* $0
presenter person,identifier,aligns with,500 1* $0
creator person of expression,identifier,aligns with,500 1* $0
editor person of moving image work,identifier,aligns with,500 1* $0
production designer person,identifier,aligns with,500 1* $0
minute taker person,identifier,aligns with,500 1* $0
dubbing director person,identifier,aligns with,500 1* $0
animator person,identifier,aligns with,500 1* $0
related person of place,identifier,aligns with,500 1* $0
respondent,identifier,aligns with,500 1* $0
appellee person,identifier,aligns with,500 1* $0
medium,identifier,aligns with,500 1* $0
degree supervisor,identifier,aligns with,500 1* $0
appellant person,identifier,aligns with,500 1* $0
plaintiff person,identifier,aligns with,500 1* $0
judge,identifier,aligns with,500 1* $0
praeses,identifier,aligns with,500 1* $0
subject person,identifier,aligns with,500 1* $0
degree committee member,identifier,aligns with,500 1* $0
defendant person,identifier,aligns with,500 1* $0
related person of work,identifier,aligns with,500 1* $0
description of person,identifier,aligns with,500 1* $0
criminal defendant person,identifier,aligns with,500 1* $0
civil defendant person,identifier,aligns with,500 1* $0
academic supervisor,identifier,aligns with,500 1* $0
project supervisor,identifier,aligns with,500 1* $0
research supervisor,identifier,aligns with,500 1* $0
dedicatee person of work,identifier,aligns with,500 1* $0
addressee person,identifier,aligns with,500 1* $0
dedicator person,identifier,aligns with,500 1* $0
director person of photography,identifier,aligns with,500 1* $0
researcher person,identifier,aligns with,500 1* $0
editorial director person,identifier,aligns with,500 1* $0
film director person,identifier,aligns with,500 1* $0
radio director person,identifier,aligns with,500 1* $0
television director person,identifier,aligns with,500 1* $0
audio producer person,identifier,aligns with,500 1* $0
film producer person,identifier,aligns with,500 1* $0
radio producer person,identifier,aligns with,500 1* $0
television producer person,identifier,aligns with,500 1* $0
landscape architect person,identifier,aligns with,500 1* $0
calligrapher person,identifier,aligns with,500 1* $0
sculptor person,identifier,aligns with,500 1* $0
book artist person,identifier,aligns with,500 1* $0
screenwriter person,identifier,aligns with,500 1* $0
lyricist person,identifier,aligns with,500 1* $0
librettist person,identifier,aligns with,500 1* $0
rapporteur person,identifier,aligns with,500 1* $0
honouree person of work,identifier,aligns with,500 1* $0
choreographer person,identifier,aligns with,500 1* $0
cartographer person of work,identifier,aligns with,500 1* $0
author person,identifier,aligns with,500 1* $0
creator person of work,identifier,aligns with,500 1* $0
architect person,identifier,aligns with,500 1* $0
commissioning person,identifier,aligns with,500 1* $0
programmer person,identifier,aligns with,500 1* $0
designer person,identifier,aligns with,500 1* $0
composer person of work,identifier,aligns with,500 1* $0
inventor person,identifier,aligns with,500 1* $0
compiler person,identifier,aligns with,500 1* $0
photographer person of work,identifier,aligns with,500 1* $0
interviewer person of work,identifier,aligns with,500 1* $0
interviewee person of work,identifier,aligns with,500 1* $0
aggregator person,identifier,aligns with,500 1* $0
remix artist person,identifier,aligns with,500 1* $0
filmmaker person,identifier,aligns with,500 1* $0
artist person,identifier,aligns with,500 1* $0
founder person of work,identifier,aligns with,500 1* $0
casting director person,identifier,aligns with,500 1* $0
producer person,identifier,aligns with,500 1* $0
director person,identifier,aligns with,500 1* $0
issuing person,identifier,aligns with,500 1* $0
organizer person,identifier,aligns with,500 1* $0
consultant person,identifier,aligns with,500 1* $0
sponsoring person of work,identifier,aligns with,500 1* $0
employee,IRI,aligns with,500 1* $1
officer,IRI,aligns with,500 1* $1
sponsoring person of corporate body,IRI,aligns with,500 1* $1
founding person of corporate body,IRI,aligns with,500 1* $1
person member of corporate body,IRI,aligns with,500 1* $1
person member of family,IRI,aligns with,500 1* $1
related person of agent,IRI,aligns with,500 1* $1
graduate,IRI,aligns with,500 1* $1
colleague,IRI,aligns with,500 1* $1
assistant,IRI,aligns with,500 1* $1
assistant to,IRI,aligns with,500 1* $1
coworker,IRI,aligns with,500 1* $1
partner,IRI,aligns with,500 1* $1
fellow student,IRI,aligns with,500 1* $1
friend,IRI,aligns with,500 1* $1
student,IRI,aligns with,500 1* $1
teacher,IRI,aligns with,500 1* $1
enrolled student,IRI,aligns with,500 1* $1
chief executive,IRI,aligns with,500 1* $1
trustee,IRI,aligns with,500 1* $1
related person of person,IRI,aligns with,500 1* $1
related person of family,IRI,aligns with,500 1* $1
related person of corporate body,IRI,aligns with,500 1* $1
related person of collective agent,IRI,aligns with,500 1* $1
alternate identity of person,IRI,aligns with,500 1* $1
real identity of person,IRI,aligns with,500 1* $1
person member of collective agent,IRI,aligns with,500 1* $1
related person of expression,IRI,aligns with,500 1* $1
choral conductor person,IRI,aligns with,500 1* $1
interviewer person of expression,IRI,aligns with,500 1* $1
editor person,IRI,aligns with,500 1* $1
draftsman person,IRI,aligns with,500 1* $1
colourist person,IRI,aligns with,500 1* $1
makeup artist person,IRI,aligns with,500 1* $1
musical director person,IRI,aligns with,500 1* $1
sound designer person,IRI,aligns with,500 1* $1
lighting designer person,IRI,aligns with,500 1* $1
costume designer person,IRI,aligns with,500 1* $1
translator person,IRI,aligns with,500 1* $1
reviser person,IRI,aligns with,500 1* $1
audio engineer person,IRI,aligns with,500 1* $1
DJ person,IRI,aligns with,500 1* $1
art director person,IRI,aligns with,500 1* $1
performer person,IRI,aligns with,500 1* $1
court reporter person,IRI,aligns with,500 1* $1
software developer person,IRI,aligns with,500 1* $1
interviewee person of expression,IRI,aligns with,500 1* $1
restorationist person of expression,IRI,aligns with,500 1* $1
censor person,IRI,aligns with,500 1* $1
abridger person,IRI,aligns with,500 1* $1
recordist person,IRI,aligns with,500 1* $1
transcriber person,IRI,aligns with,500 1* $1
special effects provider person,IRI,aligns with,500 1* $1
visual effects provider person,IRI,aligns with,500 1* $1
music programmer person,IRI,aligns with,500 1* $1
onscreen participant person,IRI,aligns with,500 1* $1
stage director person,IRI,aligns with,500 1* $1
arranger person of music,IRI,aligns with,500 1* $1
contributor person to performance,IRI,aligns with,500 1* $1
contributor person to amalgamation,IRI,aligns with,500 1* $1
instrumental conductor person,IRI,aligns with,500 1* $1
actor person,IRI,aligns with,500 1* $1
onscreen presenter person,IRI,aligns with,500 1* $1
dancer person,IRI,aligns with,500 1* $1
host person,IRI,aligns with,500 1* $1
moderator person,IRI,aligns with,500 1* $1
puppeteer person,IRI,aligns with,500 1* $1
panelist person,IRI,aligns with,500 1* $1
instrumentalist person,IRI,aligns with,500 1* $1
commentator person,IRI,aligns with,500 1* $1
narrator person,IRI,aligns with,500 1* $1
storyteller person,IRI,aligns with,500 1* $1
speaker person,IRI,aligns with,500 1* $1
instructor person,IRI,aligns with,500 1* $1
singer person,IRI,aligns with,500 1* $1
conductor person,IRI,aligns with,500 1* $1
voice actor person,IRI,aligns with,500 1* $1
mixing engineer person,IRI,aligns with,500 1* $1
recording engineer person,IRI,aligns with,500 1* $1
letterer person,IRI,aligns with,500 1* $1
presenter person,IRI,aligns with,500 1* $1
creator person of expression,IRI,aligns with,500 1* $1
editor person of moving image work,IRI,aligns with,500 1* $1
production designer person,IRI,aligns with,500 1* $1
minute taker person,IRI,aligns with,500 1* $1
dubbing director person,IRI,aligns with,500 1* $1
animator person,IRI,aligns with,500 1* $1
related person of place,IRI,aligns with,500 1* $1
respondent,IRI,aligns with,500 1* $1
appellee person,IRI,aligns with,500 1* $1
medium,IRI,aligns with,500 1* $1
degree supervisor,IRI,aligns with,500 1* $1
appellant person,IRI,aligns with,500 1* $1
plaintiff person,IRI,aligns with,500 1* $1
judge,IRI,aligns with,500 1* $1
praeses,IRI,aligns with,500 1* $1
subject person,IRI,aligns with,500 1* $1
degree committee member,IRI,aligns with,500 1* $1
defendant person,IRI,aligns with,500 1* $1
related person of work,IRI,aligns with,500 1* $1
description of person,IRI,aligns with,500 1* $1
criminal defendant person,IRI,aligns with,500 1* $1
civil defendant person,IRI,aligns with,500 1* $1
academic supervisor,IRI,aligns with,500 1* $1
project supervisor,IRI,aligns with,500 1* $1
research supervisor,IRI,aligns with,500 1* $1
dedicatee person of work,IRI,aligns with,500 1* $1
addressee person,IRI,aligns with,500 1* $1
dedicator person,IRI,aligns with,500 1* $1
director person of photography,IRI,aligns with,500 1* $1
researcher person,IRI,aligns with,500 1* $1
editorial director person,IRI,aligns with,500 1* $1
film director person,IRI,aligns with,500 1* $1
radio director person,IRI,aligns with,500 1* $1
television director person,IRI,aligns with,500 1* $1
audio producer person,IRI,aligns with,500 1* $1
film producer person,IRI,aligns with,500 1* $1
radio producer person,IRI,aligns with,500 1* $1
television producer person,IRI,aligns with,500 1* $1
landscape architect person,IRI,aligns with,500 1* $1
calligrapher person,IRI,aligns with,500 1* $1
sculptor person,IRI,aligns with,500 1* $1
book artist person,IRI,aligns with,500 1* $1
screenwriter person,IRI,aligns with,500 1* $1
lyricist person,IRI,aligns with,500 1* $1
librettist person,IRI,aligns with,500 1* $1
rapporteur person,IRI,aligns with,500 1* $1
honouree person of work,IRI,aligns with,500 1* $1
choreographer person,IRI,aligns with,500 1* $1
cartographer person of work,IRI,aligns with,500 1* $1
author person,IRI,aligns with,500 1* $1
creator person of work,IRI,aligns with,500 1* $1
architect person,IRI,aligns with,500 1* $1
commissioning person,IRI,aligns with,500 1* $1
programmer person,IRI,aligns with,500 1* $1
designer person,IRI,aligns with,500 1* $1
composer person of work,IRI,aligns with,500 1* $1
inventor person,IRI,aligns with,500 1* $1
compiler person,IRI,aligns with,500 1* $1
photographer person of work,IRI,aligns with,500 1* $1
interviewer person of work,IRI,aligns with,500 1* $1
interviewee person of work,IRI,aligns with,500 1* $1
aggregator person,IRI,aligns with,500 1* $1
remix artist person,IRI,aligns with,500 1* $1
filmmaker person,IRI,aligns with,500 1* $1
artist person,IRI,aligns with,500 1* $1
founder person of work,IRI,aligns with,500 1* $1
casting director person,IRI,aligns with,500 1* $1
producer person,IRI,aligns with,500 1* $1
director person,IRI,aligns with,500 1* $1
issuing person,IRI,aligns with,500 1* $1
organizer person,IRI,aligns with,500 1* $1
consultant person,IRI,aligns with,500 1* $1
sponsoring person of work,IRI,aligns with,500 1* $1
employee,structured description,aligns with,"500 1* $a, b, c, d, g, q"
officer,structured description,aligns with,"500 1* $a, b, c, d, g, q"
sponsoring person of corporate body,structured description,aligns with,"500 1* $a, b, c, d, g, q"
founding person of corporate body,structured description,aligns with,"500 1* $a, b, c, d, g, q"
person member of corporate body,structured description,aligns with,"500 1* $a, b, c, d, g, q"
person member of family,structured description,aligns with,"500 1* $a, b, c, d, g, q"
related person of agent,structured description,aligns with,"500 1* $a, b, c, d, g, q"
graduate,structured description,aligns with,"500 1* $a, b, c, d, g, q"
colleague,structured description,aligns with,"500 1* $a, b, c, d, g, q"
assistant,structured description,aligns with,"500 1* $a, b, c, d, g, q"
assistant to,structured description,aligns with,"500 1* $a, b, c, d, g, q"
coworker,structured description,aligns with,"500 1* $a, b, c, d, g, q"
partner,structured description,aligns with,"500 1* $a, b, c, d, g, q"
fellow student,structured description,aligns with,"500 1* $a, b, c, d, g, q"
friend,structured description,aligns with,"500 1* $a, b, c, d, g, q"
student,structured description,aligns with,"500 1* $a, b, c, d, g, q"
teacher,structured description,aligns with,"500 1* $a, b, c, d, g, q"
enrolled student,structured description,aligns with,"500 1* $a, b, c, d, g, q"
chief executive,structured description,aligns with,"500 1* $a, b, c, d, g, q"
trustee,structured description,aligns with,"500 1* $a, b, c, d, g, q"
related person of person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
related person of family,structured description,aligns with,"500 1* $a, b, c, d, g, q"
related person of corporate body,structured description,aligns with,"500 1* $a, b, c, d, g, q"
related person of collective agent,structured description,aligns with,"500 1* $a, b, c, d, g, q"
alternate identity of person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
real identity of person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
person member of collective agent,structured description,aligns with,"500 1* $a, b, c, d, g, q"
related person of expression,structured description,aligns with,"500 1* $a, b, c, d, g, q"
choral conductor person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
interviewer person of expression,structured description,aligns with,"500 1* $a, b, c, d, g, q"
editor person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
draftsman person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
colourist person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
makeup artist person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
musical director person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
sound designer person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
lighting designer person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
costume designer person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
translator person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
reviser person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
audio engineer person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
DJ person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
art director person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
performer person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
court reporter person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
software developer person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
interviewee person of expression,structured description,aligns with,"500 1* $a, b, c, d, g, q"
restorationist person of expression,structured description,aligns with,"500 1* $a, b, c, d, g, q"
censor person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
abridger person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
recordist person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
transcriber person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
special effects provider person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
visual effects provider person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
music programmer person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
onscreen participant person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
stage director person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
arranger person of music,structured description,aligns with,"500 1* $a, b, c, d, g, q"
contributor person to performance,structured description,aligns with,"500 1* $a, b, c, d, g, q"
contributor person to amalgamation,structured description,aligns with,"500 1* $a, b, c, d, g, q"
instrumental conductor person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
actor person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
onscreen presenter person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
dancer person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
host person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
moderator person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
puppeteer person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
panelist person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
instrumentalist person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
commentator person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
narrator person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
storyteller person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
speaker person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
instructor person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
singer person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
conductor person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
voice actor person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
mixing engineer person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
recording engineer person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
letterer person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
presenter person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
creator person of expression,structured description,aligns with,"500 1* $a, b, c, d, g, q"
editor person of moving image work,structured description,aligns with,"500 1* $a, b, c, d, g, q"
production designer person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
minute taker person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
dubbing director person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
animator person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
related person of place,structured description,aligns with,"500 1* $a, b, c, d, g, q"
respondent,structured description,aligns with,"500 1* $a, b, c, d, g, q"
appellee person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
medium,structured description,aligns with,"500 1* $a, b, c, d, g, q"
degree supervisor,structured description,aligns with,"500 1* $a, b, c, d, g, q"
appellant person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
plaintiff person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
judge,structured description,aligns with,"500 1* $a, b, c, d, g, q"
praeses,structured description,aligns with,"500 1* $a, b, c, d, g, q"
subject person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
degree committee member,structured description,aligns with,"500 1* $a, b, c, d, g, q"
defendant person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
related person of work,structured description,aligns with,"500 1* $a, b, c, d, g, q"
description of person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
criminal defendant person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
civil defendant person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
academic supervisor,structured description,aligns with,"500 1* $a, b, c, d, g, q"
project supervisor,structured description,aligns with,"500 1* $a, b, c, d, g, q"
research supervisor,structured description,aligns with,"500 1* $a, b, c, d, g, q"
dedicatee person of work,structured description,aligns with,"500 1* $a, b, c, d, g, q"
addressee person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
dedicator person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
director person of photography,structured description,aligns with,"500 1* $a, b, c, d, g, q"
researcher person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
editorial director person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
film director person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
radio director person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
television director person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
audio producer person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
film producer person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
radio producer person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
television producer person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
landscape architect person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
calligrapher person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
sculptor person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
book artist person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
screenwriter person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
lyricist person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
librettist person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
